~iteration~,knn_monitor_accuracy
0,29.75
1,32.75
2,34.75
3,32.25
4,29.5
5,30.25
6,26.5
7,30.0
8,29.5
9,28.999999999999996
10,30.5
11,32.0
12,31.75
13,30.5
14,33.25
15,31.25
16,31.5
17,32.0
18,33.25
19,31.0
20,33.25
21,32.75
22,32.0
23,32.5
24,36.25
25,34.5
26,38.25
27,36.25
28,37.25
29,36.0
30,38.25
31,35.0
32,37.25
33,36.0
34,39.5
35,39.25
36,37.0
37,38.75
38,38.75
39,38.0
40,37.75
41,38.5
42,35.75
43,38.0
44,34.75
45,40.0
46,38.0
47,39.5
48,40.25
49,39.0
50,42.5
51,40.75
52,39.5
53,39.5
54,39.75
55,39.25
56,38.0
57,40.75
58,36.75
59,37.75
60,39.25
61,38.75
62,38.0
63,39.75
64,42.0
65,40.5
66,41.75
67,40.5
68,42.75
69,41.25
70,39.0
71,42.0
72,41.25
73,41.75
74,41.25
75,40.0
76,43.5
77,43.0
78,41.75
79,43.0
80,44.75
81,43.5
82,41.75
83,45.0
84,43.25
85,42.5
86,45.0
87,42.5
88,44.0
89,42.25
90,43.5
91,45.75
92,44.0
93,42.75
94,44.25
95,43.75
96,45.75
97,44.75
98,45.75
99,42.75
100,47.25
101,43.25
102,44.25
103,43.75
104,48.25
105,45.75
106,45.25
107,42.75
108,44.5
109,45.25
110,42.5
111,46.0
112,46.25
113,45.0
114,43.25
115,45.0
116,44.75
117,43.0
118,45.75
119,42.25
120,45.5
121,40.75
122,44.75
123,45.5
124,45.0
125,42.25
126,43.5
127,42.75
128,44.25
129,44.0
130,44.5
131,43.5
132,44.75
133,45.75
134,45.0
135,44.75
136,43.75
137,47.5
138,45.25
139,44.75
140,44.75
141,44.5
142,45.75
143,46.0
144,45.5
145,43.75
146,47.0
147,46.0
148,46.5
149,46.5
150,46.25
151,46.0
152,46.0
153,44.25
154,44.75
155,44.5
156,46.5
157,46.25
158,45.25
159,46.75
160,46.75
161,44.75
162,46.25
163,45.75
164,47.0
165,45.25
166,44.75
167,44.0
168,46.0
169,46.5
170,48.0
171,46.25
172,46.75
173,47.25
174,46.5
175,47.0
176,45.75
177,46.5
178,46.5
179,45.75
180,45.75
181,47.0
182,45.5
183,47.0
184,47.25
185,47.0
186,45.75
187,46.0
188,46.75
189,47.0
190,47.25
191,47.25
192,47.75
193,47.5
194,48.0
195,47.25
196,47.5
197,47.5
198,47.5
199,47.75
200,47.5
