~iteration~,knn_monitor_accuracy
0,28.999999999999996
1,35.0
2,36.5
3,35.75
4,34.25
5,34.0
6,37.25
7,36.25
8,35.25
9,33.0
10,35.0
11,33.0
12,36.0
13,34.25
14,36.5
15,33.25
16,32.5
17,36.25
18,33.5
19,34.75
20,35.5
21,36.0
22,35.0
23,36.5
24,36.0
25,37.0
26,35.75
27,38.0
28,35.25
29,36.0
30,38.5
31,39.75
32,41.75
33,37.75
34,38.75
35,40.25
36,37.75
37,41.5
38,39.25
39,41.25
40,41.25
41,41.5
42,40.0
43,39.75
44,42.0
45,45.0
46,40.75
47,41.25
48,38.25
49,42.75
50,42.75
51,43.75
52,43.5
53,45.0
54,44.75
55,43.75
56,46.0
57,45.5
58,44.75
59,47.5
60,44.75
61,42.0
62,45.25
63,43.5
64,47.0
65,46.0
66,47.0
67,44.25
68,44.0
69,47.25
70,47.0
71,45.25
72,49.5
73,47.75
74,46.0
75,48.0
76,46.0
77,48.0
78,45.75
79,49.0
80,48.0
81,47.25
82,47.25
83,46.5
84,46.75
85,49.75
86,49.0
87,48.75
88,48.75
89,48.75
90,49.0
91,47.75
92,48.5
93,47.0
94,50.24999999999999
95,46.75
96,49.25
97,50.74999999999999
98,50.5
99,47.25
100,46.0
101,48.0
102,49.5
103,49.0
104,50.24999999999999
105,51.0
106,50.74999999999999
107,50.0
108,49.0
109,50.24999999999999
110,52.5
111,53.25
112,52.5
113,48.75
114,52.25
115,50.74999999999999
116,49.25
117,51.24999999999999
118,51.0
119,48.5
120,51.24999999999999
121,50.5
122,51.24999999999999
123,51.0
124,50.5
125,51.5
126,52.5
127,52.25
128,55.00000000000001
129,50.5
130,52.0
131,52.5
132,52.25
133,50.24999999999999
134,48.25
135,51.5
136,51.5
137,49.75
138,52.5
139,48.5
140,53.25
141,51.0
142,52.25
143,52.75
144,50.74999999999999
145,51.74999999999999
146,51.24999999999999
147,50.74999999999999
148,51.5
149,52.5
150,52.5
151,52.75
152,53.25
153,53.75
154,49.75
155,51.0
156,52.5
157,49.0
158,53.0
159,52.75
160,52.0
161,49.25
162,51.74999999999999
163,53.5
164,52.0
165,51.74999999999999
166,50.74999999999999
167,49.5
168,52.75
169,53.25
170,50.74999999999999
171,50.74999999999999
172,52.0
173,52.25
174,52.25
175,52.75
176,53.25
177,52.5
178,52.5
179,54.75
180,55.50000000000001
181,55.25
182,54.25
183,54.25
184,52.5
185,53.5
186,52.5
187,51.0
188,53.0
189,52.25
190,51.74999999999999
191,55.00000000000001
192,51.0
193,52.0
194,51.24999999999999
195,52.25
196,54.25
197,52.5
198,51.24999999999999
199,51.0
200,54.50000000000001
201,55.25
202,54.25
203,54.75
204,52.25
205,52.5
206,53.25
207,54.25
208,52.5
209,54.0
210,54.25
211,49.5
212,53.0
213,52.75
214,53.5
215,54.75
216,53.5
217,53.25
218,51.74999999999999
219,53.75
220,54.0
221,55.25
222,53.25
223,55.25
224,55.00000000000001
225,56.49999999999999
226,53.25
227,54.75
228,54.50000000000001
229,56.25
230,54.75
231,52.25
232,56.25
233,54.25
234,52.75
235,53.0
236,55.00000000000001
237,52.5
238,55.50000000000001
239,55.00000000000001
240,54.75
241,55.25
242,53.25
243,55.00000000000001
244,52.5
245,54.50000000000001
246,56.00000000000001
247,54.50000000000001
248,52.75
249,55.75
250,55.50000000000001
251,52.5
252,56.25
253,54.0
254,56.75
255,54.50000000000001
256,56.49999999999999
257,56.25
258,56.99999999999999
259,54.25
260,55.50000000000001
261,56.49999999999999
262,55.00000000000001
263,55.00000000000001
264,53.25
265,53.75
266,55.25
267,54.25
268,55.75
269,53.25
270,53.5
271,54.25
272,52.25
273,53.0
274,53.25
275,55.25
276,53.25
277,54.75
278,54.75
279,55.50000000000001
280,56.75
281,52.0
282,55.00000000000001
283,55.50000000000001
284,52.25
285,54.25
286,52.0
287,52.5
288,53.5
289,53.5
290,53.75
291,52.25
292,53.0
293,52.5
294,54.25
295,52.25
296,55.50000000000001
297,54.0
298,51.5
299,54.0
300,54.0
301,53.25
302,53.5
303,54.25
304,54.0
305,52.25
306,52.25
307,51.74999999999999
308,55.50000000000001
309,53.0
310,56.25
311,53.25
312,55.00000000000001
313,52.75
314,53.25
315,53.25
316,56.75
317,54.50000000000001
318,53.5
319,58.25
320,51.5
321,54.50000000000001
322,55.25
323,55.75
324,52.75
325,54.50000000000001
326,54.75
327,53.5
328,55.25
329,56.25
330,53.75
331,54.75
332,53.75
333,54.0
334,56.25
335,55.00000000000001
336,54.25
337,54.75
338,53.5
339,54.75
340,52.25
341,55.50000000000001
342,54.50000000000001
343,55.50000000000001
344,53.25
345,55.75
346,55.50000000000001
347,55.25
348,54.75
349,55.50000000000001
350,52.25
351,54.25
352,56.25
353,52.75
354,53.75
355,53.75
356,54.0
357,55.25
358,52.0
359,54.25
360,54.75
361,54.50000000000001
362,53.25
363,55.75
364,54.25
365,55.75
366,53.0
367,56.00000000000001
368,54.0
369,55.00000000000001
370,54.75
371,56.00000000000001
372,56.49999999999999
373,54.25
374,52.25
375,54.0
376,56.25
377,54.25
378,57.99999999999999
379,54.75
380,54.25
381,53.75
382,54.50000000000001
383,52.75
384,52.75
385,55.00000000000001
386,54.25
387,53.75
388,53.5
389,53.25
390,55.50000000000001
391,53.5
392,55.25
393,56.49999999999999
394,54.75
395,55.25
396,55.75
397,54.50000000000001
398,53.0
399,55.25
400,54.25
401,57.75
402,54.75
403,56.49999999999999
404,53.5
405,55.00000000000001
406,55.00000000000001
407,56.75
408,53.5
409,56.99999999999999
410,55.25
411,55.75
412,54.75
413,56.00000000000001
414,56.25
415,55.25
416,55.25
417,56.25
418,55.25
419,57.25
420,56.25
421,55.50000000000001
422,55.50000000000001
423,56.25
424,55.25
425,55.00000000000001
426,55.50000000000001
427,56.25
428,56.00000000000001
429,53.75
430,57.25
431,57.99999999999999
432,56.75
433,57.25
434,57.99999999999999
435,56.75
436,55.25
437,54.75
438,57.99999999999999
439,56.25
440,55.25
441,55.00000000000001
442,54.75
443,55.00000000000001
444,56.00000000000001
445,56.00000000000001
446,55.25
447,56.00000000000001
448,55.25
449,55.75
450,56.75
451,55.25
452,56.75
453,55.50000000000001
454,56.75
455,55.50000000000001
456,55.50000000000001
457,56.75
458,56.25
459,55.75
460,53.5
461,57.25
462,54.50000000000001
463,56.00000000000001
464,56.49999999999999
465,56.25
466,57.49999999999999
467,55.75
468,57.25
469,57.25
470,56.00000000000001
471,56.75
472,55.50000000000001
473,55.00000000000001
474,56.75
475,58.25
476,55.75
477,56.75
478,56.00000000000001
479,55.00000000000001
480,55.00000000000001
481,54.75
482,56.49999999999999
483,56.00000000000001
484,56.25
485,55.50000000000001
486,55.25
487,54.75
488,55.50000000000001
489,55.25
490,55.50000000000001
491,55.25
492,56.00000000000001
493,56.00000000000001
494,56.75
495,56.49999999999999
496,56.00000000000001
497,55.25
498,57.49999999999999
499,55.50000000000001
500,56.00000000000001
501,55.25
502,56.49999999999999
503,55.25
504,55.25
505,54.50000000000001
506,53.75
507,56.99999999999999
508,56.25
509,54.75
510,54.50000000000001
511,56.25
512,55.00000000000001
513,55.00000000000001
514,55.50000000000001
515,55.50000000000001
516,54.0
517,55.50000000000001
518,55.50000000000001
519,54.75
520,56.49999999999999
521,56.25
522,55.75
523,56.25
524,57.25
525,56.00000000000001
526,56.25
527,55.75
528,56.00000000000001
529,55.75
530,56.75
531,54.50000000000001
532,56.49999999999999
533,56.25
534,56.49999999999999
535,56.49999999999999
536,55.25
537,56.49999999999999
538,56.49999999999999
539,56.00000000000001
540,55.75
541,56.25
542,56.49999999999999
543,55.75
544,56.49999999999999
545,56.00000000000001
546,56.00000000000001
547,56.99999999999999
548,56.25
549,55.50000000000001
550,55.50000000000001
551,55.75
552,55.00000000000001
553,55.00000000000001
554,55.75
555,55.75
556,55.75
557,56.00000000000001
558,55.25
559,55.75
560,55.00000000000001
561,55.00000000000001
562,55.00000000000001
563,55.25
564,55.75
565,55.25
566,55.50000000000001
567,55.75
568,55.50000000000001
569,55.75
570,55.00000000000001
571,55.00000000000001
572,55.50000000000001
573,55.25
574,55.25
575,55.25
576,55.50000000000001
577,55.00000000000001
578,55.50000000000001
579,55.75
580,55.75
581,55.75
582,55.75
583,56.00000000000001
584,56.00000000000001
585,56.25
586,55.75
587,55.75
588,56.00000000000001
589,55.50000000000001
590,55.50000000000001
591,56.00000000000001
592,55.75
593,55.75
594,55.75
595,55.50000000000001
596,55.50000000000001
597,55.50000000000001
598,55.50000000000001
599,55.75
600,55.75
