~iteration~,embedding_size,memory_size,queue_idx
0,128,2048,128
1,128,2048,256
2,128,2048,384
3,128,2048,512
4,128,2048,640
5,128,2048,768
6,128,2048,896
7,128,2048,1024
8,128,2048,1152
9,128,2048,1280
10,128,2048,1408
11,128,2048,1536
12,128,2048,1664
13,128,2048,1792
14,128,2048,1920
15,128,2048,0
16,128,2048,128
17,128,2048,256
18,128,2048,384
19,128,2048,512
20,128,2048,640
21,128,2048,768
22,128,2048,896
23,128,2048,1024
24,128,2048,1152
25,128,2048,1280
26,128,2048,1408
27,128,2048,1536
28,128,2048,1664
29,128,2048,1792
30,128,2048,1920
31,128,2048,0
32,128,2048,128
33,128,2048,256
34,128,2048,384
35,128,2048,512
36,128,2048,640
37,128,2048,768
38,128,2048,896
39,128,2048,1024
40,128,2048,1152
41,128,2048,1280
42,128,2048,1408
43,128,2048,1536
44,128,2048,1664
45,128,2048,1792
46,128,2048,1920
47,128,2048,0
48,128,2048,128
49,128,2048,256
50,128,2048,384
51,128,2048,512
52,128,2048,640
53,128,2048,768
54,128,2048,896
55,128,2048,1024
56,128,2048,1152
57,128,2048,1280
58,128,2048,1408
59,128,2048,1536
60,128,2048,1664
61,128,2048,1792
62,128,2048,1920
63,128,2048,0
64,128,2048,128
65,128,2048,256
66,128,2048,384
67,128,2048,512
68,128,2048,640
69,128,2048,768
70,128,2048,896
71,128,2048,1024
72,128,2048,1152
73,128,2048,1280
74,128,2048,1408
75,128,2048,1536
76,128,2048,1664
77,128,2048,1792
78,128,2048,1920
79,128,2048,0
80,128,2048,128
81,128,2048,256
82,128,2048,384
83,128,2048,512
84,128,2048,640
85,128,2048,768
86,128,2048,896
87,128,2048,1024
88,128,2048,1152
89,128,2048,1280
90,128,2048,1408
91,128,2048,1536
92,128,2048,1664
93,128,2048,1792
94,128,2048,1920
95,128,2048,0
96,128,2048,128
97,128,2048,256
98,128,2048,384
99,128,2048,512
100,128,2048,640
101,128,2048,768
102,128,2048,896
103,128,2048,1024
104,128,2048,1152
105,128,2048,1280
106,128,2048,1408
107,128,2048,1536
108,128,2048,1664
109,128,2048,1792
110,128,2048,1920
111,128,2048,0
112,128,2048,128
113,128,2048,256
114,128,2048,384
115,128,2048,512
116,128,2048,640
117,128,2048,768
118,128,2048,896
119,128,2048,1024
120,128,2048,1152
121,128,2048,1280
122,128,2048,1408
123,128,2048,1536
124,128,2048,1664
125,128,2048,1792
126,128,2048,1920
127,128,2048,0
128,128,2048,128
129,128,2048,256
130,128,2048,384
131,128,2048,512
132,128,2048,640
133,128,2048,768
134,128,2048,896
135,128,2048,1024
136,128,2048,1152
137,128,2048,1280
138,128,2048,1408
139,128,2048,1536
140,128,2048,1664
141,128,2048,1792
142,128,2048,1920
143,128,2048,0
144,128,2048,128
145,128,2048,256
146,128,2048,384
147,128,2048,512
148,128,2048,640
149,128,2048,768
150,128,2048,896
151,128,2048,1024
152,128,2048,1152
153,128,2048,1280
154,128,2048,1408
155,128,2048,1536
156,128,2048,1664
157,128,2048,1792
158,128,2048,1920
159,128,2048,0
160,128,2048,128
161,128,2048,256
162,128,2048,384
163,128,2048,512
164,128,2048,640
165,128,2048,768
166,128,2048,896
167,128,2048,1024
168,128,2048,1152
169,128,2048,1280
170,128,2048,1408
171,128,2048,1536
172,128,2048,1664
173,128,2048,1792
174,128,2048,1920
175,128,2048,0
176,128,2048,128
177,128,2048,256
178,128,2048,384
179,128,2048,512
180,128,2048,640
181,128,2048,768
182,128,2048,896
183,128,2048,1024
184,128,2048,1152
185,128,2048,1280
186,128,2048,1408
187,128,2048,1536
188,128,2048,1664
189,128,2048,1792
190,128,2048,1920
191,128,2048,0
192,128,2048,128
193,128,2048,256
194,128,2048,384
195,128,2048,512
196,128,2048,640
197,128,2048,768
198,128,2048,896
199,128,2048,1024
200,128,2048,1152
201,128,2048,1280
202,128,2048,1408
203,128,2048,1536
204,128,2048,1664
205,128,2048,1792
206,128,2048,1920
207,128,2048,0
208,128,2048,128
209,128,2048,256
210,128,2048,384
211,128,2048,512
212,128,2048,640
213,128,2048,768
214,128,2048,896
215,128,2048,1024
216,128,2048,1152
217,128,2048,1280
218,128,2048,1408
219,128,2048,1536
220,128,2048,1664
221,128,2048,1792
222,128,2048,1920
223,128,2048,0
224,128,2048,128
225,128,2048,256
226,128,2048,384
227,128,2048,512
228,128,2048,640
229,128,2048,768
230,128,2048,896
231,128,2048,1024
232,128,2048,1152
233,128,2048,1280
234,128,2048,1408
235,128,2048,1536
236,128,2048,1664
237,128,2048,1792
238,128,2048,1920
239,128,2048,0
240,128,2048,128
241,128,2048,256
242,128,2048,384
243,128,2048,512
244,128,2048,640
245,128,2048,768
246,128,2048,896
247,128,2048,1024
248,128,2048,1152
249,128,2048,1280
250,128,2048,1408
251,128,2048,1536
252,128,2048,1664
253,128,2048,1792
254,128,2048,1920
255,128,2048,0
256,128,2048,128
257,128,2048,256
258,128,2048,384
259,128,2048,512
260,128,2048,640
261,128,2048,768
262,128,2048,896
263,128,2048,1024
264,128,2048,1152
265,128,2048,1280
266,128,2048,1408
267,128,2048,1536
268,128,2048,1664
269,128,2048,1792
270,128,2048,1920
271,128,2048,0
272,128,2048,128
273,128,2048,256
274,128,2048,384
275,128,2048,512
276,128,2048,640
277,128,2048,768
278,128,2048,896
279,128,2048,1024
280,128,2048,1152
281,128,2048,1280
282,128,2048,1408
283,128,2048,1536
284,128,2048,1664
285,128,2048,1792
286,128,2048,1920
287,128,2048,0
288,128,2048,128
289,128,2048,256
290,128,2048,384
291,128,2048,512
292,128,2048,640
293,128,2048,768
294,128,2048,896
295,128,2048,1024
296,128,2048,1152
297,128,2048,1280
298,128,2048,1408
299,128,2048,1536
300,128,2048,1664
301,128,2048,1792
302,128,2048,1920
303,128,2048,0
304,128,2048,128
305,128,2048,256
306,128,2048,384
307,128,2048,512
308,128,2048,640
309,128,2048,768
310,128,2048,896
311,128,2048,1024
312,128,2048,1152
313,128,2048,1280
314,128,2048,1408
315,128,2048,1536
316,128,2048,1664
317,128,2048,1792
318,128,2048,1920
319,128,2048,0
320,128,2048,128
321,128,2048,256
322,128,2048,384
323,128,2048,512
324,128,2048,640
325,128,2048,768
326,128,2048,896
327,128,2048,1024
328,128,2048,1152
329,128,2048,1280
330,128,2048,1408
331,128,2048,1536
332,128,2048,1664
333,128,2048,1792
334,128,2048,1920
335,128,2048,0
336,128,2048,128
337,128,2048,256
338,128,2048,384
339,128,2048,512
340,128,2048,640
341,128,2048,768
342,128,2048,896
343,128,2048,1024
344,128,2048,1152
345,128,2048,1280
346,128,2048,1408
347,128,2048,1536
348,128,2048,1664
349,128,2048,1792
350,128,2048,1920
351,128,2048,0
352,128,2048,128
353,128,2048,256
354,128,2048,384
355,128,2048,512
356,128,2048,640
357,128,2048,768
358,128,2048,896
359,128,2048,1024
360,128,2048,1152
361,128,2048,1280
362,128,2048,1408
363,128,2048,1536
364,128,2048,1664
365,128,2048,1792
366,128,2048,1920
367,128,2048,0
368,128,2048,128
369,128,2048,256
370,128,2048,384
371,128,2048,512
372,128,2048,640
373,128,2048,768
374,128,2048,896
375,128,2048,1024
376,128,2048,1152
377,128,2048,1280
378,128,2048,1408
379,128,2048,1536
380,128,2048,1664
381,128,2048,1792
382,128,2048,1920
383,128,2048,0
384,128,2048,128
385,128,2048,256
386,128,2048,384
387,128,2048,512
388,128,2048,640
389,128,2048,768
390,128,2048,896
391,128,2048,1024
392,128,2048,1152
393,128,2048,1280
394,128,2048,1408
395,128,2048,1536
396,128,2048,1664
397,128,2048,1792
398,128,2048,1920
399,128,2048,0
400,128,2048,128
401,128,2048,256
402,128,2048,384
403,128,2048,512
404,128,2048,640
405,128,2048,768
406,128,2048,896
407,128,2048,1024
408,128,2048,1152
409,128,2048,1280
410,128,2048,1408
411,128,2048,1536
412,128,2048,1664
413,128,2048,1792
414,128,2048,1920
415,128,2048,0
416,128,2048,128
417,128,2048,256
418,128,2048,384
419,128,2048,512
420,128,2048,640
421,128,2048,768
422,128,2048,896
423,128,2048,1024
424,128,2048,1152
425,128,2048,1280
426,128,2048,1408
427,128,2048,1536
428,128,2048,1664
429,128,2048,1792
430,128,2048,1920
431,128,2048,0
432,128,2048,128
433,128,2048,256
434,128,2048,384
435,128,2048,512
436,128,2048,640
437,128,2048,768
438,128,2048,896
439,128,2048,1024
440,128,2048,1152
441,128,2048,1280
442,128,2048,1408
443,128,2048,1536
444,128,2048,1664
445,128,2048,1792
446,128,2048,1920
447,128,2048,0
448,128,2048,128
449,128,2048,256
450,128,2048,384
451,128,2048,512
452,128,2048,640
453,128,2048,768
454,128,2048,896
455,128,2048,1024
456,128,2048,1152
457,128,2048,1280
458,128,2048,1408
459,128,2048,1536
460,128,2048,1664
461,128,2048,1792
462,128,2048,1920
463,128,2048,0
464,128,2048,128
465,128,2048,256
466,128,2048,384
467,128,2048,512
468,128,2048,640
469,128,2048,768
470,128,2048,896
471,128,2048,1024
472,128,2048,1152
473,128,2048,1280
474,128,2048,1408
475,128,2048,1536
476,128,2048,1664
477,128,2048,1792
478,128,2048,1920
479,128,2048,0
480,128,2048,128
481,128,2048,256
482,128,2048,384
483,128,2048,512
484,128,2048,640
485,128,2048,768
486,128,2048,896
487,128,2048,1024
488,128,2048,1152
489,128,2048,1280
490,128,2048,1408
491,128,2048,1536
492,128,2048,1664
493,128,2048,1792
494,128,2048,1920
495,128,2048,0
496,128,2048,128
497,128,2048,256
498,128,2048,384
499,128,2048,512
500,128,2048,640
501,128,2048,768
502,128,2048,896
503,128,2048,1024
504,128,2048,1152
505,128,2048,1280
506,128,2048,1408
507,128,2048,1536
508,128,2048,1664
509,128,2048,1792
510,128,2048,1920
511,128,2048,0
512,128,2048,128
513,128,2048,256
514,128,2048,384
515,128,2048,512
516,128,2048,640
517,128,2048,768
518,128,2048,896
519,128,2048,1024
520,128,2048,1152
521,128,2048,1280
522,128,2048,1408
523,128,2048,1536
524,128,2048,1664
525,128,2048,1792
526,128,2048,1920
527,128,2048,0
528,128,2048,128
529,128,2048,256
530,128,2048,384
531,128,2048,512
532,128,2048,640
533,128,2048,768
534,128,2048,896
535,128,2048,1024
536,128,2048,1152
537,128,2048,1280
538,128,2048,1408
539,128,2048,1536
540,128,2048,1664
541,128,2048,1792
542,128,2048,1920
543,128,2048,0
544,128,2048,128
545,128,2048,256
546,128,2048,384
547,128,2048,512
548,128,2048,640
549,128,2048,768
550,128,2048,896
551,128,2048,1024
552,128,2048,1152
553,128,2048,1280
554,128,2048,1408
555,128,2048,1536
556,128,2048,1664
557,128,2048,1792
558,128,2048,1920
559,128,2048,0
560,128,2048,128
561,128,2048,256
562,128,2048,384
563,128,2048,512
564,128,2048,640
565,128,2048,768
566,128,2048,896
567,128,2048,1024
568,128,2048,1152
569,128,2048,1280
570,128,2048,1408
571,128,2048,1536
572,128,2048,1664
573,128,2048,1792
574,128,2048,1920
575,128,2048,0
576,128,2048,128
577,128,2048,256
578,128,2048,384
579,128,2048,512
580,128,2048,640
581,128,2048,768
582,128,2048,896
583,128,2048,1024
584,128,2048,1152
585,128,2048,1280
586,128,2048,1408
587,128,2048,1536
588,128,2048,1664
589,128,2048,1792
590,128,2048,1920
591,128,2048,0
592,128,2048,128
593,128,2048,256
594,128,2048,384
595,128,2048,512
596,128,2048,640
597,128,2048,768
598,128,2048,896
599,128,2048,1024
600,128,2048,1152
601,128,2048,1280
602,128,2048,1408
603,128,2048,1536
604,128,2048,1664
605,128,2048,1792
606,128,2048,1920
607,128,2048,0
608,128,2048,128
609,128,2048,256
610,128,2048,384
611,128,2048,512
612,128,2048,640
613,128,2048,768
614,128,2048,896
615,128,2048,1024
616,128,2048,1152
617,128,2048,1280
618,128,2048,1408
619,128,2048,1536
620,128,2048,1664
621,128,2048,1792
622,128,2048,1920
623,128,2048,0
624,128,2048,128
625,128,2048,256
626,128,2048,384
627,128,2048,512
628,128,2048,640
629,128,2048,768
630,128,2048,896
631,128,2048,1024
632,128,2048,1152
633,128,2048,1280
634,128,2048,1408
635,128,2048,1536
636,128,2048,1664
637,128,2048,1792
638,128,2048,1920
639,128,2048,0
640,128,2048,128
641,128,2048,256
642,128,2048,384
643,128,2048,512
644,128,2048,640
645,128,2048,768
646,128,2048,896
647,128,2048,1024
648,128,2048,1152
649,128,2048,1280
650,128,2048,1408
651,128,2048,1536
652,128,2048,1664
653,128,2048,1792
654,128,2048,1920
655,128,2048,0
656,128,2048,128
657,128,2048,256
658,128,2048,384
659,128,2048,512
660,128,2048,640
661,128,2048,768
662,128,2048,896
663,128,2048,1024
664,128,2048,1152
665,128,2048,1280
666,128,2048,1408
667,128,2048,1536
668,128,2048,1664
669,128,2048,1792
670,128,2048,1920
671,128,2048,0
672,128,2048,128
673,128,2048,256
674,128,2048,384
675,128,2048,512
676,128,2048,640
677,128,2048,768
678,128,2048,896
679,128,2048,1024
680,128,2048,1152
681,128,2048,1280
682,128,2048,1408
683,128,2048,1536
684,128,2048,1664
685,128,2048,1792
686,128,2048,1920
687,128,2048,0
688,128,2048,128
689,128,2048,256
690,128,2048,384
691,128,2048,512
692,128,2048,640
693,128,2048,768
694,128,2048,896
695,128,2048,1024
696,128,2048,1152
697,128,2048,1280
